# Impulsive bundled default website-protection blocklist
# Bundled defaults are mandatory and are not user-removable.
version=1
pornhub.com	adult
xvideos.com	adult
xnxx.com	adult
xhamster.com	adult
redtube.com	adult
youporn.com	adult
spankbang.com	adult
onlyfans.com	adult
brazzers.com	adult
livejasmin.com	adult
chaturbate.com	adult
stripchat.com	adult
cam4.com	adult
bongacams.com	adult
myfreecams.com	adult
camsoda.com	adult
naughtyamerica.com	adult
realitykings.com	adult
bangbros.com	adult
mofos.com	adult
digitalplayground.com	adult
twistys.com	adult
teamskeet.com	adult
nubiles.net	adult
fakings.com	adult
pornhd.com	adult
tnaflix.com	adult
tube8.com	adult
drtuber.com	adult
hqporner.com	adult
beeg.com	adult
eporner.com	adult
motherless.com	adult
rule34.xxx	adult
rule34video.com	adult
hanime.tv	adult
nhentai.net	adult
literotica.com	adult
adultfriendfinder.com	adult
fetlife.com	adult
erome.com	adult
fansly.com	adult
manyvids.com	adult
clips4sale.com	adult
iwantclips.com	adult
justfor.fans	adult
fapello.com	adult
theporndude.com	adult
youjizz.com	adult
keezmovies.com	adult
empflix.com	adult
sunporno.com	adult
pornone.com	adult
thumbzilla.com	adult
porntrex.com	adult
pornhat.com	adult
pornpics.com	adult
imagefap.com	adult
sex.com	adult
hclips.com	adult
upornia.com	adult
txxx.com	adult
netfapx.com	adult
porndoe.com	adult
